N,c,s,f,f_std,ratio,ratio_std
2,37.5,150.0,0.56235,0.0104308436859153,0.7743756247545663,0.01650603469938955
5,15.0,60.0,0.60682,0.0064593807752756326,0.83825422593739,0.012497306016666132
10,7.5,30.0,0.6204999999999999,0.006915056037372377,0.8576367951609761,0.01192309085626893
20,3.75,15.0,0.6287200000000001,0.004986892820183706,0.8681364475768399,0.00857353465892568
30,2.5,10.0,0.6308566666666666,0.0033337683049532644,0.8697812344871869,0.005437361742791756
50,1.5,6.0,0.635298,0.0018886916106130415,0.876586965707587,0.0032660114786658254
