day,agent_id,agent_qM,agent_qE,agent_choice,agent_stored,agent_profit,agent_eta,agent_phi,agent_beta
2.0,1,1.9787712538987503,0.8480448230994644,0.0,0.0,239.5936047290778,0.9,0.11472918757324084,2.5112747213686086
2.0,2,1.5245217460260483,0.6533664625825921,0.0,0.0,184.59216036142118,0.9,0.27554148760989566,2.3101475693193327
2.0,3,1.5033204731399417,0.6442802027742607,0.0,0.0,182.02506758320402,0.9,0.05351042504100474,2.7197046864039542
2.0,4,1.647788584764152,0.7061951077560652,0.0,0.0,199.51755720990977,0.9,0.1619923928588926,2.080445818552535
2.0,5,1.9926773054179698,0.8540045594648442,0.0,0.0,241.27737742613587,0.9,0.14622528649316513,2.5756510141648885
2.0,6,1.9720123061471941,0.8451481312059403,0.0,0.0,238.77521773625074,0.9,0.14782401255865624,2.705283399854406
2.0,7,1.528732733317197,0.6551711714216558,0.0,0.0,185.10203517518084,0.9,0.1716110504922917,2.630147340411473
2.0,8,1.7057116281839793,0.7310192692217055,0.0,0.0,206.5309958489094,0.9,0.183549492065181,2.6805891325622566
2.0,9,1.9174785170111526,0.821776507290494,0.0,0.0,232.17215682514444,0.9,0.2842422896611452,2.0227825756686584
2.0,10,1.502923191572418,0.644109939245322,0.0,0.0,181.97696393167388,0.9,0.2595816412983541,2.9184820619953316
2.0,11,1.5470585702097972,0.6630251015184845,0.0,0.0,187.32096437789903,0.9,0.1771500325156583,2.3114460010002067
2.0,12,1.5244229695850868,0.65332412982218,0.0,0.0,184.58020031121038,0.9,0.2867264589144728,2.6337478522492526
2.0,13,1.5950151690914087,0.6835779296106037,0.0,0.0,193.12764585962816,0.9,0.15056676877976988,2.7018296239336754
2.0,14,1.9565534232201265,0.8385228956657685,0.0,0.0,236.90342508801854,0.9,0.2522614643400906,2.8750163314802712
2.0,15,1.8729966543699856,0.802712851872851,0.0,0.0,226.78620339861152,0.9,0.1820864942149482,2.097784341800659
2.0,16,1.4927312266893071,0.6397419542954174,0.0,0.0,180.7429003172943,0.9,0.18021638210354973,2.6507832381497374
2.0,17,1.999019844241508,0.8567227903892177,0.0,0.0,242.0453447881397,0.9,0.22808941312906045,2.9027101506193307
2.0,18,1.7846568114800725,0.7648529192057454,0.0,0.0,216.08983748087735,0.9,0.29547851753132637,2.289530853635867
2.0,19,1.7111343802378853,0.7333433058162366,0.0,0.0,207.18759357822626,0.9,0.1685011627843241,2.8408483326276714
2.0,20,1.970123235535847,0.8443385295153629,0.0,0.0,238.54648526580036,0.9,0.07116739228002779,2.749869571783086
2.0,21,1.5036179441247506,0.6444076903391789,0.0,0.0,182.06108596855924,0.9,0.13963009550238475,2.063857948943829
2.0,22,1.8478695047567428,0.7919440734671755,0.0,0.0,223.74375756737055,0.9,0.18659781557877841,2.151334368472891
2.0,23,1.6761079902811493,0.7183319958347782,0.0,0.0,202.94652780882723,0.9,0.10469327421803894,2.340220315051032
2.0,24,1.866834955346641,0.800072123719989,0.0,0.0,226.04013248346655,0.9,0.0598539573445072,2.225090653676496
2.0,25,1.5966884710021083,0.6842950590009036,0.0,0.0,193.33025262167538,0.9,0.23946159556534563,2.990532562705562
2.0,26,1.7220272645452641,0.7380116848051131,0.0,0.0,208.5065259267529,0.9,0.09549223054655277,2.5068577868511275
2.0,27,1.5395857687515,0.6598224723220715,0.0,0.0,186.41614254197918,0.9,0.15446651119907362,2.491830959096264
