day,price_M,price_E,gas_M,gas_E,total_solar_M,total_solar_E,avg_storage_fraction,avg_profit
50,37.10264803514845,192.57137230084513,27.466041923630925,97.48544653869897,52.533958076369075,22.51455346130103,0.0,209.4935804394749
51,36.553294207702066,192.22656650181173,27.15268028009018,97.35114869146722,52.84731971990982,22.64885130853278,0.0,209.51515160198934
52,35.61215159372913,191.6333893025399,26.613293428565967,97.11998289795685,53.38670657143403,22.880017102043155,0.0,209.52635706921507
53,36.697032045732826,192.3168856013057,27.234775366132098,97.3863322997709,52.7652246338679,22.6136677002291,0.0,209.51057611400813
54,35.995145726128435,191.87516053859403,26.8331868753354,97.2142229465723,53.1668131246646,22.785777053427687,0.0,209.5257272113063
55,40.58227589953523,194.7321382656238,29.42682324218694,98.32578138950869,50.57317675781306,21.67421861049131,0.0,209.10138491863609
56,37.927741074876806,193.08731045421172,27.934688023620836,97.68629486726607,52.065311976379164,22.313705132733926,0.0,209.44043273235746
57,37.019415112549446,192.51919754846872,27.418633505140804,97.46512864506035,52.581366494859196,22.534871354939657,0.0,209.49755945230828
58,34.240622782432986,190.76318767004324,25.821305320655924,96.78055942313826,54.178694679344076,23.219440576861746,0.0,209.48422492391077
59,37.117525153465294,192.5806955540578,27.474513155058396,97.4890770664536,52.525486844941604,22.5109229335464,0.0,209.49284250904293
60,34.748077140800575,191.08596952767496,26.115172691177996,96.90650258193342,53.884827308822004,23.093497418066573,0.0,209.5079159987258
61,37.00968004271894,192.51309354302725,27.413086926799195,97.4627515400568,52.586913073200805,22.537248459943203,0.0,209.49800827483094
62,38.834652046005736,193.6517961067555,28.447100739152994,97.90590031677985,51.552899260847006,22.094099683220144,0.0,209.35336639250195
63,37.054533974073486,192.54121478903892,27.438639760491462,97.47370275449634,52.56136023950854,22.52629724550366,0.0,209.49591150222133
64,38.95126085058079,193.724182049344,28.51278423731963,97.9340503874227,51.48721576268037,22.065949612577302,0.0,209.34000038269588
65,37.71480772510915,192.9543809979987,27.81397084619116,97.63455893408192,52.18602915380884,22.365441065918073,0.0,209.4565297364761
66,38.32742682928074,193.33641825415853,28.160858567989926,97.78322510056711,51.839141432010074,22.216774899432888,0.0,209.40575281144498
67,36.64917003377768,192.28681902471342,27.207447492416556,97.37462035389281,52.792552507583444,22.62537964610719,0.0,209.5121838248004
68,37.955994696912626,193.10493717577683,27.950693931290104,97.69315454198147,52.049306068709896,22.30684545801853,0.0,209.43817252941216
69,35.41395250466436,191.50806522319772,26.499284687153207,97.07112200877995,53.50071531284679,22.928877991220055,0.0,209.52456176306794
70,39.31694410564019,193.95090017046044,28.718473170724565,98.02220278745338,51.281526829275435,21.977797212546616,0.0,209.29488257119203
71,37.21407698288082,192.64118463893712,27.529472040570333,97.51263087453015,52.47052795942967,22.487369125469858,0.0,209.48785648527297
72,37.39314524774358,192.75328555823202,27.63131363412301,97.556277271767,52.36868636587699,22.443722728232995,0.0,209.47770639125483
73,37.38930406012168,192.7508820292436,27.629130216294776,97.55534152126918,52.370869783705224,22.44465847873081,0.0,209.4779364285499
74,37.013729229615514,192.51563247130966,27.41539400120263,97.4637402862297,52.58460599879737,22.536259713770303,0.0,209.4978220139896
75,35.13526527743095,191.33160521182322,26.338727812750882,97.00231191975038,53.66127218724912,22.99768808024962,0.0,209.51958699927997
76,37.52685494735741,192.8369199712647,27.7072850353443,97.58883644371899,52.2927149646557,22.411163556281014,0.0,209.46936274825424
77,37.73881309244946,192.9693745920552,27.827587933205514,97.64039482851665,52.172412066794486,22.359605171483352,0.0,209.4547977879146
78,37.854160100523195,193.0413926556802,27.892990879245737,97.66842466253388,52.10700912075426,22.331575337466113,0.0,209.44618229853847
79,38.06576377031421,193.17339414428912,28.01285294138438,97.71979411773616,51.98714705861562,22.28020588226384,0.0,209.4291150512103
80,36.057074660512036,191.91420488180466,26.868692111960428,97.22943947655446,53.13130788803957,22.770560523445532,0.0,209.5251184299918
81,35.25696138949005,191.4086960803314,26.4088752087524,97.03237508946532,53.5911247912476,22.967624910534685,0.0,209.52211179239808
82,34.26858977272478,190.78100225418234,25.837527081689267,96.78751160643826,54.16247291831073,23.212488393561742,0.0,209.48577886837302
83,38.223809283916346,193.2718883633678,28.10227689379957,97.75811866877125,51.89772310620043,22.241881331228754,0.0,209.41530253071406
84,36.98730940154056,192.49906564795717,27.40033992672258,97.45728854002397,52.59966007327742,22.542711459976037,0.0,209.4990264921018
85,36.369538949476826,192.11099687089285,27.047620868349902,97.30612322929281,52.9523791316501,22.693876770707185,0.0,209.51989681939227
86,37.373665868302695,192.74109629717375,27.620240580316228,97.55153167727838,52.37975941968377,22.448468322721617,0.0,209.47886738423614
87,38.77037723640232,193.61187818466817,28.41087652060019,97.8903756516858,51.58912347939981,22.109624348314203,0.0,209.36052248754177
88,37.1834523743693,192.62200197504563,27.512043578164104,97.5051615334989,52.4879564218359,22.494838466501097,0.0,209.4894749120671
89,37.42111443161006,192.77078508047632,27.647210390028732,97.56309016715517,52.35278960997127,22.43690983284483,0.0,209.47601513553658
90,37.200433750365285,192.6326391770099,27.521708086938077,97.50930346583061,52.47829191306192,22.490696534169395,0.0,209.48858173168233
91,36.34636402830048,192.09641299552098,27.03436225437911,97.30044096616248,52.96563774562089,22.699559033837524,0.0,209.52040724912302
92,36.70356926244155,192.3209916160466,27.238507295881938,97.38793169823512,52.76149270411806,22.612068301764886,0.0,209.51035000468667
93,36.49363324399225,192.18905676225754,27.118583377239716,97.33653573310274,52.881416622760284,22.663464266897265,0.0,209.51682813579612
94,37.012974500316425,192.51515924389284,27.41496398924987,97.4635559953928,52.58503601075013,22.536444004607198,0.0,209.49785677673813
95,35.34923527315574,191.4671126842043,26.462025964403395,97.05515398474431,53.537974035596605,22.94484601525569,0.0,209.52366192523615
96,35.40040369104339,191.49949290696063,26.491485724495107,97.06777959621219,53.50851427550489,22.932220403787813,0.0,209.52438616056176
97,35.00576369037864,191.2495099811403,26.26401961922531,96.97029412252513,53.73598038077469,23.029705877474868,0.0,209.5162998319026
98,33.87191911604088,190.52804929514298,25.607158171558993,96.68878207352529,54.39284182844101,23.31121792647472,0.0,209.46102723765847
99,37.48173896569655,192.80870702673246,27.681657954818938,97.57785340920812,52.31834204518106,22.422146590791883,0.0,209.47225108633145
100,37.28878533624813,192.68796708404307,27.571974681387367,97.53084629202316,52.42802531861263,22.469153707976844,0.0,209.48376439326915
101,37.24612447505436,192.6612551412629,27.5477067223227,97.5204457381383,52.4522932776773,22.4795542618617,0.0,209.48612611762758
102,37.56435381294191,192.86036437710462,27.728579980473846,97.5979628487745,52.271420019526154,22.402037151225493,0.0,209.46690545643864
103,38.27213335510311,193.3019875394529,28.129602158785886,97.76982949662252,51.870397841214114,22.230170503377476,0.0,209.4108975001662
104,36.936113397739305,192.46695583135397,27.371161268589717,97.44478340082416,52.62883873141028,22.555216599175836,0.0,209.5012877444967
