day,agent_id,agent_qM,agent_qE,agent_choice,agent_stored,agent_profit,agent_eta,agent_phi,agent_beta
2.0,1,0.9021707664748503,1.1857101502240892,0.4,0.5413024598849103,239.6035450344769,0.9,0.11472918757324084,2.5112747213686086
2.0,2,1.8079197201183606,1.0417061244491506,0.1,0.18079197201183606,288.71069269976056,0.9,0.27554148760989566,2.3101475693193327
2.0,3,1.5652427385761012,1.1907025118453913,0.2,0.3521796161796228,291.3942767977322,0.9,0.05351042504100474,2.7197046864039542
2.0,4,1.4830097262877369,0.8544960803848389,0.1,0.1483009726287737,236.82509825656646,0.9,0.1619923928588926,2.080445818552535
2.0,5,1.782078921706804,1.0268169025072538,0.1,0.17820789217068042,284.5841185348264,0.9,0.14622528649316513,2.5756510141648885
2.0,6,0.37875096690950144,2.1751126956802804,0.8,1.3635034808742057,341.23409289848735,0.9,0.14782401255865624,2.705283399854406
2.0,7,0.6001765030315926,1.4532845323407853,0.6,0.8102382790926501,254.7302927992902,0.9,0.1716110504922917,2.630147340411473
2.0,8,1.8478695047567428,0.7919440734671755,0.0,0.0,255.9549361105453,0.9,0.183549492065181,2.6805891325622566
2.0,9,1.4570845967332522,1.108425068229224,0.2,0.32784403426498177,271.25895673181435,0.9,0.2842422896611452,2.0227825756686584
2.0,10,1.7919585434869556,1.032509446485341,0.1,0.17919585434869556,286.16181715496896,0.9,0.2595816412983541,2.9184820619953316
2.0,11,0.6844537520951541,1.6573558711446947,0.6,0.9240125653284581,290.4997176632117,0.9,0.1771500325156583,2.3114460010002067
2.0,12,1.7447104750725762,1.0052855594465797,0.1,0.17447104750725764,278.6166687676567,0.9,0.2867264589144728,2.6337478522492526
2.0,13,1.3368634345150396,1.3341351417915397,0.3,0.5156473247415153,294.38094538982176,0.9,0.15056676877976988,2.7018296239336754
2.0,14,1.6132013328032027,0.9295112441389882,0.1,0.16132013328032027,257.6156834150236,0.9,0.2522614643400906,2.8750163314802712
2.0,15,1.0670960787095607,1.0649183316101536,0.3,0.41159420178797346,234.9774437403525,0.9,0.1820864942149482,2.097784341800659
2.0,16,1.2152136230143409,1.2127335952122709,0.3,0.4687252545912458,267.59332775327516,0.9,0.18021638210354973,2.6507832381497374
2.0,17,0.0,2.6298959738402905,1.0,1.7815424338918096,377.3070650852345,0.9,0.22808941312906045,2.9027101506193307
2.0,18,1.5351404653655814,0.8845333157582635,0.1,0.15351404653655815,245.14997110497458,0.9,0.29547851753132637,2.289530853635867
2.0,19,0.0,2.6199592067384154,1.0,1.7748110755324749,375.88145263936684,0.9,0.1685011627843241,2.8408483326276714
2.0,20,0.4785045507274227,1.6884374861381912,0.7,1.0048595565275875,279.0952866293963,0.9,0.07116739228002779,2.749869571783086
2.0,21,1.0520462341006924,1.0498992009698749,0.3,0.4057892617245529,231.66342723758555,0.9,0.13963009550238475,2.063857948943829
2.0,22,1.9174785170111526,0.821776507290494,0.0,0.0,265.5967264201056,0.9,0.18659781557877841,2.151334368472891
2.0,23,1.0825537056675925,1.08034441239072,0.3,0.4175564293289286,238.38125501972922,0.9,0.10469327421803894,2.340220315051032
2.0,24,0.8947631386844651,1.1759744108424401,0.4,0.5368578832106792,237.63618592151494,0.9,0.0598539573445072,2.225090653676496
2.0,25,0.0,2.6023785316197685,1.0,1.7629015859359722,373.3591806570468,0.9,0.23946159556534563,2.990532562705562
2.0,26,0.0,1.9832000583157936,1.0,1.3434581040203764,284.5266128102144,0.9,0.09549223054655277,2.5068577868511275
2.0,27,0.0,2.6174494414976253,1.0,1.7731109119822623,375.5213805427992,0.9,0.15446651119907362,2.491830959096264
2.0,28,0.3229980624455884,1.8549317300446653,0.8,1.1627930248041185,291.00374778165184,0.9,0.07632320616409123,2.549143766231777
2.0,29,1.39644582822162,1.39359593877627,0.3,0.5386291051711963,307.5011496942311,0.9,0.27794582953238056,2.799341211421814
2.0,30,1.866834955346641,0.800072123719989,0.0,0.0,258.58190770218056,0.9,0.28357239559289193,2.4861651007487353
3.0,1,0.33937157503861903,1.948962473793213,0.8,1.221737670139029,300.67084001215727,0.9,0.11472918757324084,2.5112747213686086
3.0,2,0.0,2.2925293044926267,1.0,1.5530037223982311,319.0533950238803,0.9,0.27554148760989566,2.3101475693193327
3.0,3,0.9526100033665597,1.6738718630583835,0.5,0.8573490030299037,315.56924909961447,0.9,0.05351042504100474,2.7197046864039542
3.0,4,1.4982885508369326,0.6421236646443997,0.0,0.0,219.30380973242058,0.9,0.1619923928588926,2.080445818552535
3.0,5,1.2094273842991095,0.9200286887703939,0.2,0.27212116146729964,232.92865960998176,0.9,0.14622528649316513,2.5756510141648885
3.0,6,1.032615513871054,1.3571518182305284,0.4,0.6195693083226326,278.42949864247527,0.9,0.14782401255865624,2.705283399854406
3.0,7,0.7564131945039967,1.8316005209775348,0.6,1.0211578125803955,320.50534842297253,0.9,0.1716110504922917,2.630147340411473
3.0,8,1.7871203364249353,1.0297217176543674,0.1,0.17871203364249355,298.29508224998585,0.9,0.183549492065181,2.6805891325622566
3.0,9,0.7811739656573828,1.3726342539408298,0.5,0.7030565690916446,258.777968830347,0.9,0.2842422896611452,2.0227825756686584
3.0,10,0.9155615120499311,1.2033094158370523,0.4,0.5493369072299588,246.86761853961596,0.9,0.2595816412983541,2.9184820619953316
3.0,11,0.36870876835477606,2.1174417839802864,0.8,1.3273515660771944,326.6625234846585,0.9,0.1771500325156583,2.3114460010002067
3.0,12,0.0,2.1716116483201513,1.0,1.471091761765264,302.22517448835407,0.9,0.2867264589144728,2.6337478522492526
3.0,13,0.8201531237756554,1.4411262032057945,0.5,0.7381378113980899,271.6905181574038,0.9,0.15056676877976988,2.7018296239336754
3.0,14,0.32189808575133066,1.8486147210290709,0.8,1.1588331087047907,285.18996568921324,0.9,0.2522614643400906,2.8750163314802712
3.0,15,1.5944109497944443,0.6833189784833332,0.0,0.0,233.37320129269568,0.9,0.1820864942149482,2.097784341800659
3.0,16,0.5563411946090416,1.963089643834761,0.7,1.1683165086789873,321.4535922885593,0.9,0.18021638210354973,2.6507832381497374
3.0,17,0.728833740116394,1.7648188421389825,0.6,0.9839255491571319,308.8194567674068,0.9,0.22808941312906045,2.9027101506193307
3.0,18,1.04410791866768,1.0419770861806033,0.3,0.4027273400575338,235.56302087903748,0.9,0.29547851753132637,2.289530853635867
3.0,19,1.821907169641153,0.780817358417637,0.0,0.0,266.6717189141772,0.9,0.1685011627843241,2.8408483326276714
3.0,20,0.9291521862874182,1.6326531273336062,0.5,0.8362369676586764,307.7984240032793,0.9,0.07116739228002779,2.749869571783086
3.0,21,1.5963608347835267,0.9198079095657463,0.1,0.1596360834783527,266.4546851193026,0.9,0.13963009550238475,2.063857948943829
3.0,22,1.1162164264102408,1.1139384337032814,0.3,0.43054062161537865,251.8315479261189,0.9,0.18659781557877841,2.151334368472891
3.0,23,0.3553316036519309,2.040618638115375,0.8,1.2791937731469516,314.81084336758397,0.9,0.10469327421803894,2.340220315051032
3.0,24,1.3713209281369272,1.0431834203327337,0.2,0.3085472088308086,264.1084118259499,0.9,0.0598539573445072,2.225090653676496
3.0,25,0.0,2.3046940608584277,1.0,1.561244363807322,320.74637526650633,0.9,0.23946159556534563,2.990532562705562
3.0,26,1.0212172596726916,1.3421712555698233,0.4,0.612730355803615,275.3561280033374,0.9,0.09549223054655277,2.5068577868511275
3.0,27,0.937319294260361,1.2319053581707602,0.4,0.5623915765562166,252.7342826668205,0.9,0.15446651119907362,2.491830959096264
3.0,28,1.3088563354403815,1.3061852000619318,0.3,0.5048445865270044,295.2933760587012,0.9,0.07632320616409123,2.549143766231777
3.0,29,1.5245371495605884,1.1597371887728762,0.2,0.3430208586511324,293.6169623598886,0.9,0.27794582953238056,2.799341211421814
3.0,30,0.5341636001719049,1.8848344177494354,0.7,1.121743560361,308.6393921732035,0.9,0.28357239559289193,2.4861651007487353
4.0,1,1.80009020563037,0.7714672309844443,0.0,0.0,264.9301817926909,0.9,0.11472918757324084,2.5112747213686086
4.0,2,0.0,2.060530048522202,1.0,1.3958429360956852,284.7036661641052,0.9,0.27554148760989566,2.3101475693193327
4.0,3,0.49637282785105236,1.7514869782744273,0.7,1.0423829384872099,285.6642519708824,0.9,0.05351042504100474,2.7197046864039542
4.0,4,1.1120650582608813,1.461571219428587,0.4,0.6672390349565289,299.76303057698203,0.9,0.1619923928588926,2.080445818552535
4.0,5,0.17350526558626972,2.1489866466185124,0.9,1.405392651248785,312.18729881317597,0.9,0.14622528649316513,2.5756510141648885
4.0,6,1.0598833782089614,1.3929895827889207,0.4,0.6359300269253769,285.69718214773263,0.9,0.14782401255865624,2.705283399854406
