beta,f,f_std,gap_profit_pct,entropy
0.5,0.5975500000000001,0.0022727179573321637,1.0876430200014329,0.9772093689006273
1.0,0.6183266666666667,0.0028205069153007406,0.42958190719721356,0.9538221800101407
1.5,0.62761,0.004373067121527306,0.1270320565594119,0.9241892071752218
2.0,0.6292866666666667,0.004040663678526409,0.09073024518555974,0.8959144205328249
3.0,0.6343133333333333,0.0018805830459175574,-0.04466578715607825,0.819029238322776
4.0,0.6356866666666666,0.002980231161802328,-0.05919472697218225,0.7506782608869582
7.0,0.6360333333333335,0.0034307973374086546,0.00860523354079951,0.5493519964565963
10.0,0.6382366666666667,0.0015744448365089746,-0.036274877686624137,0.38615351250407653
20.0,0.6412633333333334,0.001126389402657732,-0.11439559881941248,0.08985510365145313
50.0,0.6422733333333333,0.002533421051112978,-0.13842609296329728,0.008519953842164543
