metric,T,mean,std,min,max,cap5,within_2sd
f,200,0.6306366666666666,0.0030984980326731813,0.6253999999999998,0.6365666666666666,0.633,True
f,500,0.6320183333333333,0.004288601443265741,0.6254666666666667,0.6390666666666666,0.633,True
f,1000,0.6358083333333333,0.0024264351875329907,0.6306999999999999,0.6404666666666666,0.633,True
ratio,200,0.8701789965805677,0.005562180112335898,0.8604424327724091,0.882262615196842,0.874,True
ratio,500,0.8716189094460287,0.007120038222528925,0.8615799849365172,0.8832638744006551,0.874,True
ratio,1000,0.8781991346733011,0.004550841815592799,0.8693984453273615,0.8870801887374046,0.874,True
profit,200,275.1325514769673,0.3401926630493176,274.5427423782372,275.649497581734,275.19,True
profit,500,275.1513136353348,0.4173845507410999,274.3803145668385,275.73712897175614,275.19,True
profit,1000,274.84916111738113,0.2711404437082004,274.25808040984344,275.39167695515016,275.19,True
gas_M,200,60.61546975348032,0.16841278692794187,60.32664272434231,60.919169005356025,60.68,True
gas_M,500,60.68436388509034,0.23136348673794596,60.357413396543045,61.0845505345321,60.68,True
gas_M,1000,60.87658981214967,0.12614768593227646,60.606679133268536,61.136363209661404,60.68,True
gas_E,200,67.71985473597385,0.17297852950821102,67.29969019863043,68.05618533721595,67.48,True
gas_E,500,67.66179495298067,0.20123194788159135,67.35069109166582,67.98137847215423,67.48,True
gas_E,1000,67.46021361170492,0.1466795337269732,67.18623690198257,67.77985998178067,67.48,True
gas_total,200,128.3353244894542,0.12301932989133231,128.05451151197175,128.47744633827037,128.17,True
gas_total,500,128.34615883807103,0.12647104932997097,128.1092763671129,128.4988487098234,128.17,True
gas_total,1000,128.3368034238546,0.09155195716407227,128.1641014801321,128.48885305763534,128.17,True
gas_total_pct,200,2.666022886445792,0.1186778518571766,2.4303674942249907,2.832006673205949,2.4,False
gas_total_pct,500,2.66498996768156,0.15391087470730314,2.3837359793612563,3.030837573416655,2.4,True
gas_total_pct,1000,2.6565047185530495,0.09597131380196026,2.404977139709809,2.843621752338956,2.4,False
cost_pct,200,-27.03181198426855,0.1669639167500704,-27.3678940320937,-26.80873467934406,-27.1,True
cost_pct,500,-27.067966591126208,0.1973784825952932,-27.42453310730317,-26.69093452488978,-27.1,True
cost_pct,1000,-27.13468837000022,0.12426227578191694,-27.416487843795114,-26.890333963088143,-27.1,True
dCS,200,3382.829409626752,32.60840123803608,3323.6678319160783,3450.5672539769002,3461.0,False
dCS,500,3390.064729202374,45.148604567165464,3298.503935876095,3468.08288725658,3461.0,True
dCS,1000,3412.3789624869096,31.29734558059001,3355.8852284098575,3473.8554778063844,3461.0,True
dSolar,200,1970.4622269812567,10.280486772164622,1952.7598923776904,1985.9837297257227,1972.0,True
dSolar,500,1971.0176233208815,12.455198724833602,1948.255894183636,1988.259840859001,1972.0,True
dSolar,1000,1961.9595409315814,8.010142175443786,1944.5401055554294,1977.881173303559,1972.0,True
dGasRent,200,-3025.773533734966,19.543249590903304,-3066.7619487559286,-2998.135595885191,-3071.0,False
dGasRent,500,-3030.1769818609737,24.671932004701077,-3071.666652832887,-2982.290820326325,-3071.0,True
dGasRent,1000,-3037.6695888887143,15.388523715731202,-3074.158352654352,-3010.6482871370445,-3071.0,False
dTotal,200,2327.5181028730453,15.033268916078962,2306.258150680912,2359.047652889173,2362.0,False
dTotal,500,2330.9053706622826,18.978409234385794,2294.069861789474,2362.820502179139,2362.0,True
dTotal,1000,2336.668914529775,11.83732593517786,2315.883297797721,2364.737194349498,2362.0,False
