day,price_M,price_E,gas_M,gas_E,total_solar_M,total_solar_E,avg_storage_fraction,avg_profit
1,88.09364029012507,217.79198543427776,48.68775403801532,103.36009841351469,11.31224596198468,16.63990158648531,0.4366666666666667,154.01913768667072
2,100.0669371137487,202.95817077226323,54.334212469514796,97.63603402208471,5.665787530485202,22.363965977915285,0.7266666666666667,170.19692102012468
3,98.62779678280063,205.1869050464075,53.66514021005122,98.50236818471002,6.33485978994878,21.497631815289974,0.6833333333333332,167.8608600672379
4,102.09909653642124,200.3969016124298,55.2748031113466,96.63758219396563,4.725196888653403,23.36241780603437,0.7733333333333334,172.1398158597523
5,105.53766039418775,197.3484134296433,56.85553718558606,95.44514847741931,3.1444628144139406,24.554851522580684,0.8599999999999999,172.5906746203843
6,106.69205689003444,194.39221122620415,57.383261225291385,94.28452923531509,2.6167387747086144,25.715470764684905,0.8766666666666667,175.9357488962492
7,107.53130664898191,196.8143471918724,57.766005481643596,95.23578611859776,2.2339945183564067,24.76421388140224,0.8933333333333334,170.47256461312048
8,109.05832560776852,192.7348244619228,58.46046845446791,93.63195454130303,1.539531545532095,26.368045458696976,0.9266666666666665,174.99797818206778
9,106.58283441635439,197.22352631687104,57.333393482475955,95.39620311784844,2.6666065175240417,24.60379688215156,0.8766666666666666,171.22206875976013
10,105.57129438497284,197.55413097957194,56.870933457576065,95.52575623252443,3.129066542423934,24.474243767475574,0.8599999999999999,172.17758546554157
11,105.44747107542734,197.00884568028428,56.81424601062809,95.31204855390042,3.185753989371912,24.687951446099575,0.8466666666666665,173.32248394182346
12,105.93027717192497,198.21009539050587,57.03518338432273,95.78265127893737,2.964816615677274,24.21734872106263,0.8566666666666667,170.47289486565307
13,108.64757971470202,194.7700743115333,58.27391243128323,94.43311813396132,1.7260875687167745,25.56688186603868,0.9166666666666666,172.2399572559753
14,108.7208686358598,195.15799549411568,58.30721252835623,94.5855892960284,1.6927874716437665,25.414410703971598,0.9233333333333333,171.46222579947687
15,107.23081653180634,194.33098927780722,57.62905306726746,94.26044802564573,2.3709469327325348,25.739551974354264,0.8899999999999999,175.2077058098097
16,105.8839909930159,196.8410693785352,57.014013460128254,95.24626491537447,2.9859865398717487,24.753735084625525,0.8566666666666666,172.95732856879005
17,108.16687644186001,194.7943700221964,58.05535474872907,94.44266965116852,1.9446452512709267,25.557330348831485,0.9166666666666665,172.95900891224215
18,108.23421646433128,195.40358524893728,58.08598657208209,94.68207944162006,1.914013427917908,25.317920558379935,0.9066666666666666,171.81247306093732
19,108.40968851278801,194.96062807126742,58.165783050138245,94.50802389239799,1.834216949861754,25.491976107602017,0.9133333333333333,172.29261869717405
20,108.04641956960283,195.33873292418738,58.00054888122333,94.65660237713398,1.9994511187766664,25.343397622866018,0.8999999999999999,172.2193571377589
21,107.40396851521656,194.49877029777448,57.70798131944517,94.32643907381828,2.2920186805548313,25.673560926181715,0.8966666666666666,174.6549310503312
22,108.66315878234212,194.8192972669089,58.28099152953109,94.45246914592465,1.7190084704689061,25.547530854075347,0.9133333333333333,172.13149660901283
23,107.99980528663654,194.24034429729244,57.97933599079254,94.22479008975914,2.020664009207457,25.77520991024086,0.91,174.16056556147623
24,108.08263027240338,196.7724774987771,58.017025779542436,95.21936670655502,1.9829742204575658,24.780633293444982,0.9033333333333332,169.6823892216424
25,109.2888407400785,193.13405915182673,58.565087530578666,93.78927249555474,1.4349124694213335,26.210727504445256,0.9333333333333332,173.96680388674946
26,108.23657994915527,195.4751338467812,58.08706159282627,94.71018473342727,1.91293840717373,25.28981526657273,0.9099999999999999,171.6859978346515
27,110.85757611394473,193.20200410619017,59.27557648405296,93.81603823926628,0.7244235159470378,26.18396176073373,0.9666666666666667,171.3033907557145
