seed,f_estac,profit_estac,ratio_estac
0,0.6328333333333334,275.18752658035066,0.874404309706521
1,0.6348333333333334,275.0012830638193,0.8771966839021094
2,0.6297666666666667,275.4058424505264,0.8691690733309023
3,0.6254666666666667,275.73712897175614,0.8615799849365172
4,0.6337999999999999,275.1313149238772,0.8733035402779332
5,0.6267333333333334,275.6685386163049,0.8645718075598049
6,0.6355333333333333,274.8038555671624,0.8768500107441026
7,0.6318666666666666,275.1548941982066,0.8702162782074305
8,0.6304,275.1178374121723,0.8685063456917119
9,0.6273333333333333,275.7173429257684,0.8620143105148352
10,0.6302666666666666,275.2085231259814,0.8684055918303639
11,0.6390666666666666,274.3803145668385,0.8832638744006551
12,0.6278,275.433656938698,0.8633611121533765
13,0.6388333333333334,274.5437247611827,0.8828181285117356
14,0.6307333333333334,275.0972935387509,0.8699538919481552
15,0.6279333333333333,275.5710213830457,0.8647371977376941
16,0.6364333333333332,274.63782956883205,0.8791276251236098
17,0.6344333333333333,274.91378125025005,0.8770901557296927
18,0.6276,275.7150470482642,0.8641151944635445
19,0.6386999999999999,274.5995158149079,0.881693072149875
